aircraft_id,aircraft_type,current_location,available_from,capacity,status
VT-AC101,A320,BOM,300,180,AVAILABLE
VT-AC102,A320,DEL,300,180,AVAILABLE
VT-AC103,A320,DEL,300,180,AVAILABLE
VT-AC104,A320,DEL,300,180,AVAILABLE
VT-AC105,A320,BLR,300,180,MAINTENANCE_HOLD
VT-AC106,A320,BOM,300,180,AVAILABLE
VT-AC107,A320,HYD,300,180,AVAILABLE
VT-AC108,A320,DEL,300,180,AVAILABLE
VT-AC109,A320,BOM,300,180,AVAILABLE
VT-AC110,A320,DEL,300,180,AVAILABLE
VT-AC111,A320,DEL,300,180,AVAILABLE
VT-AC112,A320,BOM,300,180,AVAILABLE
VT-AC113,A320,DEL,300,180,AVAILABLE
VT-AC114,A320,DEL,300,180,AVAILABLE
VT-AC115,A320,BOM,300,180,AVAILABLE
VT-AC116,A320,BOM,300,180,AVAILABLE
VT-AC117,A320,DEL,300,180,AVAILABLE
VT-AC118,A320,BOM,300,180,AVAILABLE
VT-AC119,A320,BLR,300,180,AVAILABLE
VT-AC120,A320,DEL,300,180,AVAILABLE
VT-AC121,A320,BLR,300,180,AVAILABLE
VT-AC122,A320,BOM,300,180,MAINTENANCE_HOLD
VT-AC123,A320,DEL,300,180,AVAILABLE
VT-AC124,A320,DEL,300,180,AVAILABLE
VT-AC125,A320,CCU,300,180,AVAILABLE
VT-AC126,A320,DEL,300,180,AVAILABLE
VT-AC127,A320,DEL,300,180,AVAILABLE
VT-AC128,A320,DEL,300,180,AVAILABLE
VT-AC129,A320,BLR,300,180,AVAILABLE
VT-AC130,A320,BOM,300,180,AVAILABLE
VT-AC131,A320,BLR,300,180,AVAILABLE
VT-AC132,A320,BLR,300,180,AVAILABLE
VT-AC133,A320,BOM,300,180,AVAILABLE
VT-AC134,A320,CCU,300,180,AVAILABLE
VT-AC135,A320,DEL,300,180,AVAILABLE
VT-AC136,A320,BOM,300,180,AVAILABLE
VT-AC137,A320,BLR,300,180,AVAILABLE
VT-AC138,A320,BOM,300,180,AVAILABLE
VT-AC139,A320,HYD,300,180,AVAILABLE
VT-AC140,A320,BOM,300,180,AVAILABLE
VT-AC141,A320,BLR,300,180,AVAILABLE
VT-AC142,A320,DEL,300,180,AVAILABLE
VT-AC143,A320,DEL,300,180,AVAILABLE
VT-AC144,A320,DEL,300,180,AVAILABLE
VT-AC145,A320,DEL,300,180,MAINTENANCE_HOLD
VT-AC146,A320,DEL,300,180,AVAILABLE
VT-AC147,A320,DEL,300,180,AVAILABLE
VT-AC148,A320,DEL,300,180,AVAILABLE
VT-AC149,A320,BOM,300,180,AVAILABLE
VT-AC150,A320,DEL,300,180,AVAILABLE
VT-AC151,A320,DEL,300,180,AVAILABLE
VT-AC152,A320,DEL,300,180,AVAILABLE
VT-AC153,A320,DEL,300,180,AVAILABLE
VT-AC154,A320,HYD,300,180,AVAILABLE
VT-AC155,A320,BOM,300,180,AVAILABLE
VT-AC156,A320,BOM,300,180,AVAILABLE
VT-AC157,A320,DEL,300,180,AVAILABLE
VT-AC158,A320,BLR,300,180,AVAILABLE
VT-AC159,A320,DEL,300,180,AVAILABLE
VT-AC160,A320,DEL,300,180,AVAILABLE
VT-AC161,A321,CCU,300,222,AVAILABLE
VT-AC162,A321,BOM,300,222,AVAILABLE
VT-AC163,A321,BOM,300,222,AVAILABLE
VT-AC164,A321,BOM,300,222,AVAILABLE
VT-AC165,A321,BLR,300,222,AVAILABLE
VT-AC166,A321,BLR,300,222,AVAILABLE
VT-AC167,A321,DEL,300,222,AVAILABLE
VT-AC168,A321,DEL,300,222,AVAILABLE
VT-AC169,A321,DEL,300,222,AVAILABLE
VT-AC170,A321,DEL,300,222,AVAILABLE
VT-AC171,A321,DEL,300,222,AVAILABLE
VT-AC172,A321,HYD,300,222,AVAILABLE
VT-AC173,A321,HYD,300,222,AVAILABLE
VT-AC174,A321,DEL,300,222,AVAILABLE
VT-AC175,A321,BOM,300,222,AVAILABLE
VT-AC176,A321,DEL,300,222,AVAILABLE
VT-AC177,A321,HYD,300,222,AVAILABLE
VT-AC178,A321,BOM,300,222,MAINTENANCE_HOLD
VT-AC179,A321,DEL,300,222,AVAILABLE
VT-AC180,A321,DEL,300,222,AVAILABLE
VT-AC181,A321,BOM,300,222,AVAILABLE
VT-AC182,A321,DEL,300,222,AVAILABLE
VT-AC183,A321,BOM,300,222,AVAILABLE
VT-AC184,A321,HYD,300,222,AVAILABLE
VT-AC185,A321,DEL,300,222,AVAILABLE
VT-AC186,A321,DEL,300,222,AVAILABLE
VT-AC187,A321,CCU,300,222,AVAILABLE
VT-AC188,A321,BOM,300,222,AVAILABLE
VT-AC189,A321,DEL,300,222,AVAILABLE
VT-AC190,A321,DEL,300,222,AVAILABLE
VT-AC191,B737,DEL,300,189,AVAILABLE
VT-AC192,B737,BOM,300,189,AVAILABLE
VT-AC193,B737,BLR,300,189,AVAILABLE
VT-AC194,B737,BOM,300,189,AVAILABLE
VT-AC195,B737,DEL,300,189,AVAILABLE
VT-AC196,B737,DEL,300,189,AVAILABLE
VT-AC197,B737,CCU,300,189,AVAILABLE
