crew_id,crew_type,type_rating,base_airport,available_from,max_duty_minutes,max_flights,status
CRW-0001,CAPTAIN,A321,DEL,300,480,4,AVAILABLE
CRW-0002,CAPTAIN,A321,DEL,300,480,4,AVAILABLE
CRW-0003,CAPTAIN,A320,HYD,300,480,4,AVAILABLE
CRW-0004,CAPTAIN,A321,BOM,300,480,4,AVAILABLE
CRW-0005,CAPTAIN,A321,DEL,300,480,4,AVAILABLE
CRW-0006,CAPTAIN,A320,BOM,300,480,4,AVAILABLE
CRW-0007,CAPTAIN,A320,DEL,300,480,4,AVAILABLE
CRW-0008,CAPTAIN,A320,DEL,300,480,4,AVAILABLE
CRW-0009,CAPTAIN,A321,DEL,300,480,4,AVAILABLE
CRW-0010,CAPTAIN,B737,BOM,300,480,4,AVAILABLE
CRW-0011,CAPTAIN,A321,DEL,300,480,4,AVAILABLE
CRW-0012,CAPTAIN,A320,HYD,300,480,4,UNAVAILABLE
CRW-0013,CAPTAIN,A320,DEL,300,480,4,AVAILABLE
CRW-0014,CAPTAIN,A320,BOM,300,480,4,AVAILABLE
CRW-0015,CAPTAIN,B737,BOM,300,480,4,AVAILABLE
CRW-0016,CAPTAIN,A320,HYD,300,480,4,AVAILABLE
CRW-0017,CAPTAIN,A320,BOM,300,480,4,AVAILABLE
CRW-0018,CAPTAIN,A320,HYD,300,480,4,AVAILABLE
CRW-0019,CAPTAIN,A320,DEL,300,480,4,AVAILABLE
CRW-0020,CAPTAIN,A320,BOM,300,480,4,AVAILABLE
CRW-0021,CAPTAIN,A320,BOM,300,480,4,AVAILABLE
CRW-0022,CAPTAIN,ATR72,BOM,300,480,4,AVAILABLE
CRW-0023,CAPTAIN,A321,BOM,300,480,4,AVAILABLE
CRW-0024,CAPTAIN,A320,CCU,300,480,4,AVAILABLE
CRW-0025,CAPTAIN,A320,BLR,300,480,4,AVAILABLE
CRW-0026,CAPTAIN,B737,DEL,300,480,4,AVAILABLE
CRW-0027,CAPTAIN,A320,BLR,300,480,4,AVAILABLE
CRW-0028,CAPTAIN,A321,BOM,300,480,4,UNAVAILABLE
CRW-0029,CAPTAIN,A321,DEL,300,480,4,AVAILABLE
CRW-0030,CAPTAIN,B737,BOM,300,480,4,AVAILABLE
CRW-0031,CAPTAIN,A321,BLR,300,480,4,AVAILABLE
CRW-0032,CAPTAIN,A321,DEL,300,480,4,AVAILABLE
CRW-0033,CAPTAIN,A320,BOM,300,480,4,AVAILABLE
CRW-0034,CAPTAIN,A321,HYD,300,480,4,AVAILABLE
CRW-0035,CAPTAIN,A321,CCU,300,480,4,AVAILABLE
CRW-0036,CAPTAIN,A320,BOM,300,480,4,AVAILABLE
CRW-0037,CAPTAIN,A320,DEL,300,480,4,AVAILABLE
