flight_id,origin,destination,aircraft_type,assigned_aircraft,std,sta,flight_duration,passengers,forced_delay,c_cancel,c_delay_per_min
FL-1000,DEL,GOI,A320,VT-AC135,330,480,150,166,0,690440,665
FL-1001,DEL,BLR,A320,VT-AC126,331,491,160,175,0,720475,785
FL-1002,DEL,BOM,ATR72,VT-AC220,331,456,125,65,0,378492,930
FL-1003,DEL,CCU,A320,VT-AC114,333,463,130,148,0,699701,719
FL-1004,HYD,DEL,ATR72,VT-AC215,333,463,130,61,15,381809,732
FL-1005,BOM,BLR,A320,VT-AC136,335,430,95,149,0,651167,758
FL-1006,BOM,BLR,A321,VT-AC164,336,431,95,203,0,941475,746
FL-1007,DEL,BOM,A320,VT-AC103,336,461,125,157,0,760626,777
FL-1008,DEL,BLR,A321,VT-AC169,336,496,160,184,0,827880,853
FL-1009,BLR,BOM,A320,VT-AC131,337,437,100,174,0,821527,696
FL-1010,DEL,MAA,A320,VT-AC127,340,510,170,161,0,740310,768
FL-1011,BOM,COK,A320,VT-AC156,340,461,121,154,0,701822,753
FL-1012,BOM,HYD,A320,VT-AC140,341,426,85,158,0,678385,759
FL-1013,DEL,HYD,A321,VT-AC167,343,473,130,188,0,830778,831
FL-1014,DEL,BOM,A321,VT-AC170,343,468,125,197,0,867827,858
FL-1015,BLR,HYD,B737,VT-AC202,343,413,70,184,0,862356,937
FL-1016,DEL,COK,A321,VT-AC190,345,535,190,188,0,837912,852
FL-1017,DEL,CCU,ATR72,VT-AC214,347,477,130,67,0,380421,930
FL-1018,HYD,DEL,A320,VT-AC107,347,477,130,163,45,707114,757
FL-1019,BOM,MAA,A320,VT-AC112,347,462,115,164,0,799445,876
FL-1020,DEL,AMD,A321,VT-AC189,348,438,90,196,0,784875,803
FL-1021,BLR,PNQ,A320,VT-AC119,349,489,140,156,0,773240,710
FL-1022,BOM,DEL,A320,VT-AC138,349,479,130,156,45,683479,678
FL-1023,CCU,DEL,B737,VT-AC197,349,489,140,167,45,785462,766
FL-1024,BOM,BLR,A321,VT-AC181,350,445,95,189,0,858915,717
FL-1025,BLR,MAA,A320,VT-AC158,350,405,55,152,0,725972,801
FL-1026,BOM,CCU,A320,VT-AC101,350,505,155,148,0,733605,807
FL-1027,DEL,MAA,A320,VT-AC146,353,523,170,174,0,779083,692
FL-1028,BLR,MAA,A320,VT-AC141,354,409,55,175,0,774635,794
FL-1029,HYD,BOM,B737,VT-AC200,354,439,85,167,0,749123,914
FL-1030,CCU,DEL,A321,VT-AC187,355,495,140,182,30,811248,654
FL-1031,BOM,BLR,A320,VT-AC118,357,452,95,175,0,783449,794
FL-1032,BOM,DEL,B737,VT-AC198,357,487,130,184,15,802889,725
FL-1033,DEL,BLR,A321,VT-AC168,357,517,160,184,0,875046,928
FL-1034,DEL,BLR,A320,VT-AC142,358,518,160,171,0,786114,724
FL-1035,HYD,AMD,ATR72,VT-AC216,358,472,114,67,0,374930,749
FL-1036,DEL,BOM,B737,VT-AC196,360,485,125,180,120,748116,834
FL-1037,BOM,DEL,A320,VT-AC149,360,490,130,158,45,757182,932
FL-1038,BLR,CCU,A320,VT-AC137,361,511,150,149,0,730566,823
FL-1039,BLR,COK,A320,VT-AC129,362,427,65,169,0,736594,708
FL-1040,HYD,DEL,A321,VT-AC184,363,493,130,200,30,890571,906
FL-1041,DEL,BLR,B737,VT-AC201,366,526,160,178,120,750118,763
FL-1042,BOM,DEL,B737,VT-AC208,367,497,130,175,15,777292,770
FL-1043,BOM,AMD,B737,VT-AC206,367,485,118,170,0,752978,718
FL-1044,DEL,BLR,B737,VT-AC195,367,527,160,157,30,673765,842
FL-1045,DEL,PNQ,A321,VT-AC171,368,488,120,215,60,961994,903
FL-1046,DEL,BOM,B737,VT-AC205,370,495,125,177,45,740274,731
FL-1047,DEL,BOM,A320,VT-AC152,371,496,125,176,90,778927,807
FL-1048,CCU,BLR,A320,VT-AC134,372,527,155,166,0,780837,676
FL-1049,DEL,MAA,A320,VT-AC108,375,545,170,157,30,722721,858
FL-1050,DEL,COK,A320,VT-AC147,376,566,190,167,120,742939,714
FL-1051,HYD,GOI,A321,VT-AC172,376,468,92,203,0,888210,931
FL-1052,HYD,BOM,A320,VT-AC139,377,462,85,157,0,727494,821
FL-1053,BOM,CCU,B737,VT-AC204,377,532,155,180,0,793757,948
FL-1054,BOM,HYD,ATR72,VT-AC218,377,462,85,69,0,381426,913
FL-1055,CCU,BLR,A321,VT-AC161,377,532,155,214,0,899110,926
FL-1056,DEL,COK,A320,VT-AC104,379,569,190,155,90,732377,934
FL-1057,BOM,BLR,A320,VT-AC109,381,476,95,175,0,749077,910
FL-1058,BOM,BLR,A321,VT-AC163,382,477,95,215,0,989310,739
FL-1059,CCU,BOM,B737,VT-AC199,382,542,160,172,0,765491,738
FL-1060,BOM,BLR,ATR72,VT-AC219,382,477,95,64,0,355664,710
FL-1061,DEL,BLR,A320,VT-AC113,383,543,160,149,90,726080,849
FL-1062,DEL,BOM,ATR72,VT-AC217,383,508,125,66,45,378680,800
FL-1063,DEL,COK,A320,VT-AC110,385,575,190,165,60,765567,713
FL-1064,BOM,MAA,ATR72,VT-AC213,387,502,115,60,0,365943,921
FL-1065,DEL,MAA,A321,VT-AC180,387,557,170,196,30,894769,838
FL-1066,DEL,HYD,A321,VT-AC174,388,518,130,185,90,848855,881
FL-1067,BOM,AMD,A320,VT-AC115,389,479,90,165,0,805212,708
FL-1068,BLR,GOI,A321,VT-AC165,390,493,103,193,0,774658,763
FL-1069,CCU,BOM,A320,VT-AC125,391,551,160,163,0,730976,814
FL-1070,CCU,DEL,B737,VT-AC210,391,531,140,156,30,681849,810
FL-1071,DEL,CCU,A321,VT-AC176,392,522,130,187,60,795461,880
FL-1072,BOM,BLR,A320,VT-AC116,392,487,95,165,0,787389,728
FL-1073,DEL,GOI,B737,VT-AC191,392,542,150,166,60,705079,813
FL-1074,HYD,BOM,ATR72,VT-AC211,392,477,85,59,0,349311,843
FL-1075,DEL,MAA,A320,VT-AC143,393,563,170,168,45,726746,650
FL-1076,DEL,MAA,A320,VT-AC151,393,563,170,154,90,742265,857
FL-1077,DEL,BOM,A321,VT-AC185,396,521,125,208,60,835244,665
FL-1078,DEL,BOM,A320,VT-AC102,396,521,125,157,30,726291,767
FL-1079,BOM,BLR,A320,VT-AC155,397,492,95,160,0,730240,929
